dataset,method,metric,runs,mean,std,mean_std
Chicago Taxi 2024,HA-Mean,RMSE,3,5.6531720000,0.0000000000,5.6532 +/- 0.0000
Chicago Taxi 2024,HA-Mean,MAE,3,0.5195550000,0.0000000000,0.5196 +/- 0.0000
Chicago Taxi 2024,UrbanFM,RMSE,3,1.7160650000,0.0407471900,1.7161 +/- 0.0407
Chicago Taxi 2024,UrbanFM,MAE,3,0.2087563333,0.0047164580,0.2088 +/- 0.0047
Chicago Taxi 2024,FUPSI,RMSE,3,1.6936860000,0.0493671675,1.6937 +/- 0.0494
Chicago Taxi 2024,FUPSI,MAE,3,0.2205866667,0.0050591225,0.2206 +/- 0.0051
