dataset,paper_dataset,method,metric,runs,mean,std,mean_std
MainSeed_TaxiBJ_P2,TaxiBJ P2,FODE,RMSE_c,3,1502.5504213333,0.0598552656,1502.5504 +/- 0.0599
MainSeed_TaxiBJ_P2,TaxiBJ P2,FUPSI,MAE,3,54.5965140000,0.0114587312,54.5965 +/- 0.0115
MainSeed_TaxiBJ_P2,TaxiBJ P2,FUPSI,MAE_c,3,847.8127816667,0.5823432621,847.8128 +/- 0.5823
MainSeed_TaxiBJ_P2,TaxiBJ P2,FUPSI,MAPE,3,70168.0565586667,16838.9047135484,70168.0566 +/- 16838.9047
MainSeed_TaxiBJ_P2,TaxiBJ P2,FUPSI,MAPE_c,3,0.3073790000,0.0058019205,0.3074 +/- 0.0058
MainSeed_TaxiBJ_P2,TaxiBJ P2,FUPSI,RMSE,3,100.4262946667,0.0086362978,100.4263 +/- 0.0086
MainSeed_TaxiBJ_P2,TaxiBJ P2,FUPSI,RMSE_c,3,1502.5504213333,0.0598552656,1502.5504 +/- 0.0599
MainSeed_TaxiBJ_P2,TaxiBJ P2,HA-Mean,MAE,3,50.2793140000,0.0000000000,50.2793 +/- 0.0000
MainSeed_TaxiBJ_P2,TaxiBJ P2,HA-Mean,MAE_c,3,775.0021200000,0.0000000000,775.0021 +/- 0.0000
MainSeed_TaxiBJ_P2,TaxiBJ P2,HA-Mean,MAPE,3,77325.0686090000,0.0000000000,77325.0686 +/- 0.0000
MainSeed_TaxiBJ_P2,TaxiBJ P2,HA-Mean,MAPE_c,3,0.8694730000,0.0000000000,0.8695 +/- 0.0000
MainSeed_TaxiBJ_P2,TaxiBJ P2,HA-Mean,RMSE,3,84.5360390000,0.0000000000,84.5360 +/- 0.0000
MainSeed_TaxiBJ_P2,TaxiBJ P2,HA-Mean,RMSE_c,3,1094.5694010000,0.0000000000,1094.5694 +/- 0.0000
MainSeed_TaxiBJ_P2,TaxiBJ P2,UrbanFM,MAE,3,57.5261110000,0.2274558311,57.5261 +/- 0.2275
MainSeed_TaxiBJ_P2,TaxiBJ P2,UrbanFM,MAE_c,3,847.8127816667,0.5823432621,847.8128 +/- 0.5823
MainSeed_TaxiBJ_P2,TaxiBJ P2,UrbanFM,MAPE,3,118336.7786646667,8403.8582415987,118336.7787 +/- 8403.8582
MainSeed_TaxiBJ_P2,TaxiBJ P2,UrbanFM,MAPE_c,3,0.3073790000,0.0058019205,0.3074 +/- 0.0058
MainSeed_TaxiBJ_P2,TaxiBJ P2,UrbanFM,RMSE,3,114.7995843333,0.6487969723,114.7996 +/- 0.6488
MainSeed_TaxiBJ_P2,TaxiBJ P2,UrbanFM,RMSE_c,3,1502.5504213333,0.0598552656,1502.5504 +/- 0.0599
MainSeed_TaxiBJ_P3,TaxiBJ P3,FODE,MAE,3,54.5931953333,0.2792018028,54.5932 +/- 0.2792
MainSeed_TaxiBJ_P3,TaxiBJ P3,FODE,MAE_c,3,777.1737716667,0.4101202993,777.1738 +/- 0.4101
MainSeed_TaxiBJ_P3,TaxiBJ P3,FODE,MAPE,3,254436.7255290000,31514.4148960247,254436.7255 +/- 31514.4149
MainSeed_TaxiBJ_P3,TaxiBJ P3,FODE,MAPE_c,3,21408.6149796667,1097.6574812962,21408.6150 +/- 1097.6575
MainSeed_TaxiBJ_P3,TaxiBJ P3,FODE,RMSE,3,107.6959146667,0.3268805822,107.6959 +/- 0.3269
MainSeed_TaxiBJ_P3,TaxiBJ P3,FODE,RMSE_c,3,1362.9917390000,0.0221324599,1362.9917 +/- 0.0221
MainSeed_TaxiBJ_P3,TaxiBJ P3,FUPSI,MAE,3,50.2298633333,0.0292635117,50.2299 +/- 0.0293
MainSeed_TaxiBJ_P3,TaxiBJ P3,FUPSI,MAE_c,3,777.1737716667,0.4101202993,777.1738 +/- 0.4101
MainSeed_TaxiBJ_P3,TaxiBJ P3,FUPSI,MAPE,3,98667.9858443334,8544.6127064581,98667.9858 +/- 8544.6127
MainSeed_TaxiBJ_P3,TaxiBJ P3,FUPSI,MAPE_c,3,21408.6149796667,1097.6574812962,21408.6150 +/- 1097.6575
MainSeed_TaxiBJ_P3,TaxiBJ P3,FUPSI,RMSE,3,91.2192660000,0.0076729867,91.2193 +/- 0.0077
MainSeed_TaxiBJ_P3,TaxiBJ P3,FUPSI,RMSE_c,3,1362.9917390000,0.0221324599,1362.9917 +/- 0.0221
MainSeed_TaxiBJ_P3,TaxiBJ P3,HA-Mean,MAE,3,56.0219640000,0.0000000000,56.0220 +/- 0.0000
MainSeed_TaxiBJ_P3,TaxiBJ P3,HA-Mean,MAE_c,3,856.5427550000,0.0000000000,856.5428 +/- 0.0000
MainSeed_TaxiBJ_P3,TaxiBJ P3,HA-Mean,MAPE,3,138962.1264360000,0.0000000000,138962.1264 +/- 0.0000
MainSeed_TaxiBJ_P3,TaxiBJ P3,HA-Mean,MAPE_c,3,49066.2066860000,0.0000000000,49066.2067 +/- 0.0000
MainSeed_TaxiBJ_P3,TaxiBJ P3,HA-Mean,RMSE,3,96.2765630000,0.0000000000,96.2766 +/- 0.0000
MainSeed_TaxiBJ_P3,TaxiBJ P3,HA-Mean,RMSE_c,3,1244.8119420000,0.0000000000,1244.8119 +/- 0.0000
MainSeed_TaxiBJ_P3,TaxiBJ P3,UrbanFM,MAE,3,52.9724330000,0.3848071127,52.9724 +/- 0.3848
MainSeed_TaxiBJ_P3,TaxiBJ P3,UrbanFM,MAE_c,3,777.1737716667,0.4101202993,777.1738 +/- 0.4101
