"dataset","paper_dataset","method","seed","RMSE","MAE","MAPE","RMSE_c","MAE_c","MAPE_c"
"MainSeed_TaxiBJ_P4","TaxiBJ P4","FODE","2024","80.73229","38.561533","108170.701121","1027.950713","551.808472","596.496636"
"MainSeed_TaxiBJ_P4","TaxiBJ P4","FODE","2025","80.988147","38.719829","118156.907923","1027.572096","550.054824","173.091793"
"MainSeed_TaxiBJ_P4","TaxiBJ P4","FODE","2026","80.572709","38.46506","158207.430034","1027.437344","550.527332","135.765179"
"MainSeed_TaxiBJ_P4","TaxiBJ P4","FUPSI","2024","68.811976","36.330747","67711.547692","1027.950713","551.808472","596.496636"
"MainSeed_TaxiBJ_P4","TaxiBJ P4","FUPSI","2025","68.762443","36.253681","77327.912995","1027.572096","550.054824","173.091793"
"MainSeed_TaxiBJ_P4","TaxiBJ P4","FUPSI","2026","68.706868","36.276296","82638.713","1027.437344","550.527332","135.765179"
"MainSeed_TaxiBJ_P4","TaxiBJ P4","HA-Mean","2024","73.533308","43.278283","98280.202673","949.30822","662.745947","630.338912"
"MainSeed_TaxiBJ_P4","TaxiBJ P4","HA-Mean","2025","73.533308","43.278283","98280.202673","949.30822","662.745947","630.338912"
"MainSeed_TaxiBJ_P4","TaxiBJ P4","HA-Mean","2026","73.533308","43.278283","98280.202673","949.30822","662.745947","630.338912"
"MainSeed_TaxiBJ_P4","TaxiBJ P4","UrbanFM","2024","80.645832","38.530296","99717.866438","1027.950713","551.808472","596.496636"
"MainSeed_TaxiBJ_P4","TaxiBJ P4","UrbanFM","2025","79.505786","37.933302","75032.511788","1027.572096","550.054824","173.091793"
"MainSeed_TaxiBJ_P4","TaxiBJ P4","UrbanFM","2026","79.990194","38.217215","111116.121977","1027.437344","550.527332","135.765179"
