epoch,d_loss,g_loss,reconstruction_loss,adv_loss,d_score,g_score,psnr,ssim,p_loss,valid_rmse
1,0.7194551986585237,0.008061975228461209,0.0019937141023559117,0.6068261243417653,0.5321969681864581,0.5461879745664603,25.432412167049332,0.7066255358906536,7.710873760905845e-05,0.08239485323429108
2,0.7322321959344437,0.007547398053114544,0.0016763082141807348,0.5871089964144955,0.5314179424154845,0.557023154913321,25.820008374276775,0.7081789046654969,7.261177518280651e-05,0.07879892736673355
3,0.7440386990196685,0.007254664865147903,0.001556606861174273,0.5698058161196311,0.5307747635850775,0.5668084456056924,25.796069388229242,0.6806160371540945,7.275592907470565e-05,0.07901640236377716
4,0.7433172672066071,0.007377824534825554,0.001668137264910064,0.5709687411432436,0.530063723044361,0.5659929307411565,25.72032234614307,0.6479857832322389,7.340645807680074e-05,0.07970849424600601
5,0.7453471533880667,0.00729440596814339,0.0016164724396040846,0.5677933674905741,0.5293162045002298,0.5676056119190244,25.77080392321446,0.675879602566426,7.124467131832197e-05,0.07924657315015793
6,0.7353077138982894,0.0074889465454992775,0.001645284853578667,0.5843661887954521,0.52846570065114,0.5583009076384946,25.150050655265673,0.7096122353623956,7.12930568728605e-05,0.08511736989021301
7,0.7371342710019099,0.007548703938198473,0.001732772372722415,0.581593173142721,0.527744012628238,0.5596713169400117,24.543333413516933,0.6401601348604474,7.129156399844952e-05,0.09127546101808548
8,0.7064221986103497,0.008445686770004223,0.0021087977185479216,0.6336889169782027,0.5276329998590694,0.5315827944026348,23.19428126677832,0.5255717495819191,7.137735092435323e-05,0.10661213845014572
9,0.707027496122201,0.008299454818874657,0.0019676217737066987,0.633183320872804,0.526751523892555,0.5317150462543706,23.796302897229772,0.5046809498881881,8.344288612237744e-05,0.09947308152914047
10,0.7104589262735993,0.008229872080779719,0.0019483200055813413,0.6281552208167483,0.526442754237296,0.5345528999650894,24.350888944843014,0.5476870036228395,7.186183702160056e-05,0.093320332467556
11,0.7109901638190892,0.00812258302949903,0.0018530680839631175,0.6269515048979459,0.5259151670354358,0.5349253379224869,24.750822222191022,0.5869743718213333,7.113551177056503e-05,0.08912090957164764
12,0.7082139585928883,0.008063942521570507,0.001742018931370809,0.6321923764891565,0.5256704167266334,0.5321483760974189,25.09331469484691,0.6137579648525684,7.9387790841463e-05,0.08567517250776291
13,0.7104366117602191,0.008047594022640148,0.0017581279818176792,0.6289466181371965,0.5250876122285942,0.533847438826677,25.098537997985947,0.597380944402703,7.118364471024102e-05,0.08562366664409637
14,0.71101536463155,0.008023237998130131,0.0017369427004269398,0.6286295395317554,0.5247442660403832,0.5340885132414036,25.212809357822973,0.6343278918431435,7.379254550818867e-05,0.08450458198785782
15,0.7121975900388563,0.00795335105983424,0.0016934463434670804,0.6259904887862773,0.5247110209913335,0.5353753108636554,25.202545426563255,0.6871019828887213,7.048098310549265e-05,0.08460449427366257
16,0.7021079362810324,0.00833595347670957,0.0018864402839550252,0.6449513358555681,0.5241888057707487,0.5254287974055388,24.319493263027454,0.5490630539980802,7.547044840269018e-05,0.09365825355052948
17,0.7059193869941255,0.008148567544089423,0.0017725530920203049,0.637601465398273,0.5238131835694222,0.5290469007222454,25.327768823494633,0.6149814322397307,7.097909517933155e-05,0.08339351415634155
18,0.7089653180509238,0.008050773851206082,0.0017269980872661012,0.6323775893210738,0.5234652293661094,0.531763053504673,25.12853298123954,0.6413733159308825,8.517439525157341e-05,0.08532848954200745
19,0.6981900579673848,0.008610727968408354,0.002076583435020503,0.6534144706744884,0.5228493761499018,0.5209075363743548,24.47546141479986,0.5893053660145053,7.612895709243265e-05,0.09199148416519165
20,0.700230112716918,0.008305344492427265,0.0018020789484927563,0.6503265657995501,0.5221602625160292,0.52246257727433,25.275114674033986,0.6316150349455995,7.119453864868232e-05,0.0839005783200264
21,0.7052381794206568,0.008049340853755369,0.0016225173194261413,0.6426823736412756,0.5213512156371769,0.5265387157559943,25.485083282154264,0.6611030377866902,7.148906094524754e-05,0.08189672976732254
22,0.6994387804090311,0.008309459542753977,0.0017712716267913834,0.6538188058557203,0.5206660104377892,0.5206324208495964,25.812038034493842,0.677194885619275,7.218020618869917e-05,0.07887126505374908
