epoch,d_loss,g_loss,reconstruction_loss,adv_loss,d_score,g_score,psnr,ssim,p_loss,valid_rmse
1,0.6926418051834871,12.468945008133465,12.461990611582696,0.6954373128286304,0.4997058259295799,0.49897205374770537,9.739541666536828,0.7557332008898615,0.7516284516763008,0.8993567824363708
2,0.6976629024262841,12.438754498150747,12.431920134747246,0.6834395436869696,0.5010468243288165,0.5050014628335596,9.901434419637631,0.7824354275258002,0.7517565617459221,0.8827492594718933
3,0.6981631233260852,12.428735018197973,12.421922573568404,0.6812423298340653,0.5019484464393058,0.5061452308154907,9.938908034600127,0.7891730466288721,0.7515802602614847,0.878948986530304
4,0.6979816394759826,12.423174315223852,12.4163670947289,0.6807254062867825,0.5025616293804885,0.506421328767581,9.958167495871054,0.7932415319060138,0.7516300738003155,0.8770022392272949
5,0.697088500051268,12.42469520967851,12.41787568217667,0.6819512646691407,0.502860164354321,0.5057827015448544,9.900017392804441,0.7926772597307217,0.7515622327884507,0.8828932642936707
6,0.6953078314846378,12.42787472978366,12.421022896213115,0.685184270371812,0.5029953241910243,0.5041362295870087,9.979380273293616,0.7968836890723177,0.7517748697958451,0.8748630285263062
7,0.6929362910806817,12.426030324779683,12.419133295925771,0.6897034505991354,0.5030454985872043,0.5018416131568363,9.991786593398489,0.7986007186467062,0.7516320066512429,0.8736143112182617
8,0.6914009187385906,12.431300910135965,12.424371994728894,0.6928927217712807,0.502933695165986,0.5002370583498275,9.979391509237798,0.7970593150504335,0.751794341751633,0.8748618960380554
9,0.6892788729810968,12.425862149905653,12.418893331910978,0.6968823315890733,0.5030942405049915,0.4982370274096429,9.946494519070288,0.7959532141685486,0.7517015346663941,0.8781816363334656
10,0.6866886723231201,12.426112747641964,12.419091122952644,0.7021639482653275,0.5030800560571618,0.49561715154136426,9.988177020716444,0.7992450273679402,0.7516980908790526,0.8739774823188782
11,0.6843815846659538,12.427682094315465,12.420613451009649,0.7068601185669953,0.5031029439422054,0.49330112673495896,10.00001532446621,0.8000218000954497,0.75181156175738,0.8727871179580688
12,0.6823261521743478,12.427021149754454,12.419911643723987,0.710950244505685,0.5032303237570829,0.49129617872769227,9.98069592960007,0.7982576307422387,0.7520438736648207,0.8747305274009705
13,0.6792211574389784,12.426671500478552,12.419502009064152,0.7169509347073808,0.5035394595943624,0.48837174426898156,9.996977123820187,0.800545774177163,0.7518055096917681,0.8730924725532532
14,0.6784717102014253,12.425952718056998,12.418771970812967,0.7180748697442733,0.503847363192542,0.48783609843563175,10.011540563399237,0.8022105572466365,0.7515703910675956,0.8716297745704651
15,0.6778967574756849,12.426472362097952,12.419283805626874,0.7188530421355365,0.504161644838948,0.48747252325626705,10.00117527101155,0.80095805736359,0.7515487799938902,0.8726705312728882
16,0.676760343712923,12.42726997550825,12.420060559589158,0.7209422558844616,0.5043594898654913,0.48645982760925044,10.015514604575454,0.8020160401652673,0.7516133484968643,0.8712310791015625
17,0.6747505894533381,12.428939187393233,12.421688130482126,0.7251090810940978,0.5044309317749531,0.4844442269137556,9.983180525633808,0.7989378335947048,0.7521537827332306,0.8744803071022034
18,0.671662127929501,12.425522005410494,12.418207468253131,0.7314524811439537,0.5046532602435221,0.48140241032708864,9.956825335313829,0.7974746844725694,0.7524343702364501,0.8771377801895142
19,0.6682036012569174,12.42630929812025,12.418921478509763,0.7387862736573273,0.5048173722549263,0.47791605337830806,10.013498516999489,0.8016229528866842,0.7516520743951887,0.8714333176612854
20,0.6663444600318836,12.424792210495184,12.417372888442552,0.7419327947414828,0.505396882224659,0.4764293775041453,9.84398689589005,0.7935372640986642,0.7516112486648964,0.8886070251464844
