dataset,paper_dataset,variant,metric,runs,mean,std,cv_percent,mean_std
MainSeed_TaxiBJ_P4,TaxiBJ P4,GAN,MAE,3,36.7209643333,0.0436409457,0.118845,36.7210 +/- 0.0436
MainSeed_TaxiBJ_P4,TaxiBJ P4,GAN,MAPE,3,90808.1584013333,3446.5882465356,3.795461,90808.1584 +/- 3446.5882
MainSeed_TaxiBJ_P4,TaxiBJ P4,GAN,RMSE_c,3,1027.7926346667,0.2908069075,0.028294,1027.7926 +/- 0.2908
MainSeed_TaxiBJ_P4,TaxiBJ P4,GAN,MAE_c,3,551.5178586667,0.8552599681,0.155074,551.5179 +/- 0.8553
MainSeed_TaxiBJ_P4,TaxiBJ P4,GAN,MAPE_c,3,305.6191363333,203.5382615836,66.598664,305.6191 +/- 203.5383
MainSeed_BikeNYC,BikeNYC,noGAN,RMSE,3,5.3886693333,0.0589223653,1.093449,5.3887 +/- 0.0589
MainSeed_BikeNYC,BikeNYC,noGAN,MAE,3,2.6405743333,0.0097733504,0.370122,2.6406 +/- 0.0098
MainSeed_BikeNYC,BikeNYC,noGAN,MAPE,3,194465.7474706667,13382.3865684040,6.881616,194465.7475 +/- 13382.3866
MainSeed_BikeNYC,BikeNYC,noGAN,RMSE_c,3,14.0583083333,0.1583971549,1.126716,14.0583 +/- 0.1584
MainSeed_BikeNYC,BikeNYC,noGAN,MAE_c,3,7.4189713333,0.0877487850,1.182762,7.4190 +/- 0.0877
MainSeed_BikeNYC,BikeNYC,noGAN,MAPE_c,3,136217.1676033333,30297.2450801711,22.241870,136217.1676 +/- 30297.2451
MainSeed_BikeNYC,BikeNYC,GAN,RMSE,3,6.0537023333,0.0541976325,0.895281,6.0537 +/- 0.0542
MainSeed_BikeNYC,BikeNYC,GAN,MAE,3,3.0343036667,0.0263666216,0.868951,3.0343 +/- 0.0264
MainSeed_BikeNYC,BikeNYC,GAN,MAPE,3,246708.3521833333,13749.3365163295,5.573114,246708.3522 +/- 13749.3365
MainSeed_BikeNYC,BikeNYC,GAN,RMSE_c,3,14.0561273333,0.3081393893,2.192207,14.0561 +/- 0.3081
MainSeed_BikeNYC,BikeNYC,GAN,MAE_c,3,7.3811423333,0.0430007685,0.582576,7.3811 +/- 0.0430
MainSeed_BikeNYC,BikeNYC,GAN,MAPE_c,3,147166.9639410000,36225.8852093653,24.615501,147166.9639 +/- 36225.8852
